,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,padrao_mudanca,tipo_mudanca,perspectiva,log_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
19,time_series_strategy,cpd_time_std_delta,"[22, 27, 47]","[23, 47]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cp.csv,cp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
20,threshold_strategy,gtest_frequency,"[21, 47]","[23, 47]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_cp.csv,cp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
21,time_series_strategy,cpd_frequency_delta,"[24, 46]","[23, 46]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_IOR.csv,IOR,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
22,time_series_strategy,cpd_prob_freq_delta,"[25, 46]","[23, 46]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_IOR.csv,IOR,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
23,time_series_strategy,cramersv_frequency,"[24, 46]","[23, 46]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_IOR.csv,IOR,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
24,threshold_strategy,cramersv_frequency,"[21, 46]","[23, 46]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_IOR.csv,IOR,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
25,time_series_strategy,cpd_average_time_delta,"[22, 27, 46]","[23, 46]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_IOR.csv,IOR,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
26,time_series_strategy,cpd_time_std_delta,"[22, 27, 46]","[23, 46]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_IOR.csv,IOR,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
27,threshold_strategy,gtest_frequency,"[21, 46]","[23, 46]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_IOR.csv,IOR,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
28,time_series_strategy,cpd_frequency_delta,"[24, 50]","[25, 50]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_IRO.csv,IRO,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
29,time_series_strategy,cpd_prob_freq_delta,"[25, 50]","[25, 50]",1.0,0.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_IRO.csv,IRO,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
30,time_series_strategy,cramersv_frequency,"[24, 50]","[25, 50]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_IRO.csv,IRO,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
31,threshold_strategy,cramersv_frequency,"[21, 50]","[25, 50]",1.0,4.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_IRO.csv,IRO,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
32,time_series_strategy,cpd_average_time_delta,"[22, 27, 50]","[25, 50]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_IRO.csv,IRO,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
33,time_series_strategy,cpd_time_std_delta,"[22, 27, 50]","[25, 50]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_IRO.csv,IRO,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
34,threshold_strategy,gtest_frequency,"[21, 50]","[25, 50]",1.0,4.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_IRO.csv,IRO,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
35,time_series_strategy,cpd_frequency_delta,"[21, 26, 50, 55]","[27, 55]",0.5,10.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_lp.csv,lp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
36,time_series_strategy,cpd_prob_freq_delta,"[21, 26, 50, 55]","[27, 55]",0.5,10.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_lp.csv,lp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
37,time_series_strategy,cramersv_frequency,"[21, 26, 50, 55]","[27, 55]",0.5,10.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_lp.csv,lp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
38,threshold_strategy,cramersv_frequency,"[21, 55]","[27, 55]",1.0,6.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_lp.csv,lp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
39,time_series_strategy,cpd_average_time_delta,"[22, 55]","[27, 55]",1.0,5.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_lp.csv,lp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
40,time_series_strategy,cpd_time_std_delta,"[8, 20, 49, 55]","[27, 55]",0.5,16.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_lp.csv,lp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
41,threshold_strategy,gtest_frequency,"[22, 55]","[27, 55]",1.0,5.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_lp.csv,lp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
42,time_series_strategy,cpd_frequency_delta,"[23, 28, 58]","[29, 58]",0.67,3.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_OIR.csv,OIR,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
43,time_series_strategy,cpd_prob_freq_delta,"[24, 58]","[29, 58]",1.0,5.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_OIR.csv,OIR,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
44,time_series_strategy,cramersv_frequency,"[22, 27, 58]","[29, 58]",0.67,4.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_OIR.csv,OIR,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
45,threshold_strategy,cramersv_frequency,"[21, 58]","[29, 58]",1.0,8.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_OIR.csv,OIR,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
46,time_series_strategy,cpd_average_time_delta,"[21, 26, 58]","[29, 58]",0.67,5.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_OIR.csv,OIR,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
47,time_series_strategy,cpd_time_std_delta,"[21, 26, 58]","[29, 58]",0.67,5.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_OIR.csv,OIR,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
48,threshold_strategy,gtest_frequency,"[21, 58]","[29, 58]",1.0,8.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_OIR.csv,OIR,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
49,time_series_strategy,cpd_frequency_delta,"[24, 44]","[22, 44]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_pm.csv,pm,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
50,time_series_strategy,cpd_prob_freq_delta,"[25, 44]","[22, 44]",1.0,3.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_pm.csv,pm,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
51,time_series_strategy,cramersv_frequency,"[24, 44]","[22, 44]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_pm.csv,pm,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
52,threshold_strategy,cramersv_frequency,"[21, 44]","[22, 44]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_pm.csv,pm,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
53,time_series_strategy,cpd_average_time_delta,"[21, 26, 44]","[22, 44]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_pm.csv,pm,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
54,time_series_strategy,cpd_time_std_delta,"[21, 26, 44]","[22, 44]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_pm.csv,pm,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
55,threshold_strategy,gtest_frequency,"[22, 44]","[22, 44]",1.0,0.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_pm.csv,pm,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
56,time_series_strategy,cpd_frequency_delta,"[13, 24, 31, 47]","[23, 47]",0.5,6.33,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_RIO.csv,RIO,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
57,time_series_strategy,cpd_prob_freq_delta,"[25, 47]","[23, 47]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_RIO.csv,RIO,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
58,time_series_strategy,cramersv_frequency,"[24, 47]","[23, 47]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_RIO.csv,RIO,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
59,threshold_strategy,cramersv_frequency,"[22, 47]","[23, 47]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_RIO.csv,RIO,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
60,time_series_strategy,cpd_average_time_delta,"[22, 27, 47]","[23, 47]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_RIO.csv,RIO,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
61,time_series_strategy,cpd_time_std_delta,"[22, 37, 42, 47]","[23, 47]",0.5,11.33,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_RIO.csv,RIO,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
62,threshold_strategy,gtest_frequency,"[23, 47]","[23, 47]",1.0,0.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_RIO.csv,RIO,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
63,time_series_strategy,cpd_frequency_delta,"[24, 29, 35, 46]","[23, 46]",0.5,6.33,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_rp.csv,rp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
64,time_series_strategy,cpd_prob_freq_delta,"[26, 46]","[23, 46]",1.0,3.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_rp.csv,rp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
65,time_series_strategy,cramersv_frequency,"[25, 46]","[23, 46]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_rp.csv,rp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
66,threshold_strategy,cramersv_frequency,"[23, 46]","[23, 46]",1.0,0.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_rp.csv,rp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
67,time_series_strategy,cpd_average_time_delta,"[22, 27, 46]","[23, 46]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_rp.csv,rp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
68,time_series_strategy,cpd_time_std_delta,"[22, 27, 46]","[23, 46]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_rp.csv,rp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
69,threshold_strategy,gtest_frequency,"[23, 46]","[23, 46]",1.0,0.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_rp.csv,rp,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
70,time_series_strategy,cpd_frequency_delta,"[26, 45]","[22, 45]",1.0,4.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_sw.csv,sw,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
71,time_series_strategy,cpd_prob_freq_delta,"[26, 45]","[22, 45]",1.0,4.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_sw.csv,sw,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
72,time_series_strategy,cramersv_frequency,"[25, 45]","[22, 45]",1.0,3.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_sw.csv,sw,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
73,threshold_strategy,cramersv_frequency,"[23, 45]","[22, 45]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_sw.csv,sw,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
74,time_series_strategy,cpd_average_time_delta,"[23, 28, 45]","[22, 45]",0.67,3.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_sw.csv,sw,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
75,time_series_strategy,cpd_time_std_delta,"[23, 28, 45]","[22, 45]",0.67,3.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_sw.csv,sw,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
76,threshold_strategy,gtest_frequency,"[23, 45]","[22, 45]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_1000_sw.csv,sw,sudden,trace,1000,Fixed,1000,Fixed,True,200,3,9
77,time_series_strategy,cpd_frequency_delta,"[11, 20]","[10, 20]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cd.csv,cd,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
78,time_series_strategy,cpd_prob_freq_delta,"[12, 20]","[10, 20]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cd.csv,cd,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
79,time_series_strategy,cramersv_frequency,"[11, 20]","[10, 20]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cd.csv,cd,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
80,threshold_strategy,cramersv_frequency,"[8, 20]","[10, 20]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cd.csv,cd,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
81,time_series_strategy,cpd_average_time_delta,"[9, 14, 20]","[10, 20]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cd.csv,cd,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
82,time_series_strategy,cpd_time_std_delta,"[9, 14, 20]","[10, 20]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cd.csv,cd,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
83,threshold_strategy,gtest_frequency,"[8, 20]","[10, 20]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cd.csv,cd,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
84,time_series_strategy,cpd_frequency_delta,"[12, 22]","[11, 22]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cf.csv,cf,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
85,time_series_strategy,cpd_prob_freq_delta,"[13, 22]","[11, 22]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cf.csv,cf,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
86,time_series_strategy,cramersv_frequency,"[12, 22]","[11, 22]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cf.csv,cf,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
87,threshold_strategy,cramersv_frequency,"[9, 22]","[11, 22]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cf.csv,cf,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
88,time_series_strategy,cpd_average_time_delta,"[9, 14, 22]","[11, 22]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cf.csv,cf,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
89,time_series_strategy,cpd_time_std_delta,"[9, 14, 22]","[11, 22]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cf.csv,cf,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
90,threshold_strategy,gtest_frequency,"[9, 22]","[11, 22]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cf.csv,cf,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
91,time_series_strategy,cpd_frequency_delta,"[11, 22]","[11, 22]",1.0,0.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cp.csv,cp,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
92,time_series_strategy,cpd_prob_freq_delta,"[12, 22]","[11, 22]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cp.csv,cp,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
93,time_series_strategy,cramersv_frequency,"[11, 22]","[11, 22]",1.0,0.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cp.csv,cp,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
94,threshold_strategy,cramersv_frequency,"[9, 22]","[11, 22]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cp.csv,cp,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
95,time_series_strategy,cpd_average_time_delta,"[9, 14, 22]","[11, 22]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cp.csv,cp,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
96,time_series_strategy,cpd_time_std_delta,"[9, 14, 22]","[11, 22]",0.67,2.5,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cp.csv,cp,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
97,threshold_strategy,gtest_frequency,"[9, 22]","[11, 22]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_cp.csv,cp,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
98,time_series_strategy,cpd_frequency_delta,"[11, 21]","[10, 21]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_IOR.csv,IOR,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
99,time_series_strategy,cpd_prob_freq_delta,"[12, 21]","[10, 21]",1.0,2.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_IOR.csv,IOR,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
100,time_series_strategy,cramersv_frequency,"[11, 21]","[10, 21]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_IOR.csv,IOR,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
101,threshold_strategy,cramersv_frequency,"[9, 21]","[10, 21]",1.0,1.0,../Input/Synthetic/Synthetic Event Streams (Ceravolo - Evaluation)\sudden_trace_noise0_500_IOR.csv,IOR,sudden,trace,500,Fixed,1000,Fixed,True,200,3,9
